Source,Target,Type,Id,Label,Weight
4,32,Undirected,227,,26
27,28,Undirected,228,,11
27,5,Undirected,229,,12
27,19,Undirected,230,,18
27,0,Undirected,231,,23
27,29,Undirected,232,,12
27,6,Undirected,233,,15
27,20,Undirected,234,,15
27,30,Undirected,235,,25
27,7,Undirected,236,,19
27,31,Undirected,237,,13
27,9,Undirected,238,,29
27,32,Undirected,239,,22
27,1,Undirected,240,,64
28,5,Undirected,241,,16
28,19,Undirected,242,,8
28,0,Undirected,243,,34
28,29,Undirected,244,,17
28,6,Undirected,245,,7
28,20,Undirected,246,,10
28,30,Undirected,247,,6
28,7,Undirected,248,,6
28,31,Undirected,249,,5
28,9,Undirected,250,,15
28,32,Undirected,251,,12
28,1,Undirected,252,,52
5,19,Undirected,253,,12
5,0,Undirected,254,,28
5,29,Undirected,255,,19
5,20,Undirected,256,,14
5,30,Undirected,257,,9
5,31,Undirected,258,,13
5,9,Undirected,259,,27
5,32,Undirected,260,,10
19,0,Undirected,261,,19
19,29,Undirected,262,,11
19,6,Undirected,263,,15
19,30,Undirected,264,,16
19,31,Undirected,265,,13
19,9,Undirected,266,,29
19,32,Undirected,267,,16
0,29,Undirected,268,,39
0,6,Undirected,269,,34
0,20,Undirected,270,,25
0,30,Undirected,271,,29
0,7,Undirected,272,,32
0,31,Undirected,273,,26
0,32,Undirected,274,,38
29,6,Undirected,275,,19
29,20,Undirected,276,,16
29,30,Undirected,277,,17
29,7,Undirected,278,,14
29,31,Undirected,279,,20
29,9,Undirected,280,,22
29,32,Undirected,281,,18
29,1,Undirected,282,,62
6,30,Undirected,283,,20
6,31,Undirected,284,,21
6,32,Undirected,285,,22
20,30,Undirected,286,,14
20,31,Undirected,287,,12
20,9,Undirected,288,,21
20,32,Undirected,289,,14
30,7,Undirected,290,,28
30,31,Undirected,291,,20
30,9,Undirected,292,,29
30,32,Undirected,293,,21
30,1,Undirected,294,,76
7,31,Undirected,295,,12
7,9,Undirected,296,,27
7,32,Undirected,297,,21
31,9,Undirected,298,,29
31,32,Undirected,299,,21
31,1,Undirected,300,,51
9,32,Undirected,301,,30
32,1,Undirected,302,,71
24,33,Undirected,303,,29
3,33,Undirected,304,,13
33,28,Undirected,305,,6
33,0,Undirected,306,,22
33,20,Undirected,307,,8
33,7,Undirected,308,,14
33,1,Undirected,309,,60
7,34,Undirected,310,,18
1,34,Undirected,311,,66
11,25,Undirected,312,,19
11,8,Undirected,313,,16
25,0,Undirected,314,,27
25,21,Undirected,315,,31
25,31,Undirected,316,,14
25,32,Undirected,317,,15
25,16,Undirected,318,,19
25,8,Undirected,319,,14
17,0,Undirected,320,,79
17,31,Undirected,321,,35
17,32,Undirected,322,,39
17,8,Undirected,323,,46
0,21,Undirected,324,,33
0,16,Undirected,325,,39
0,8,Undirected,326,,37
21,31,Undirected,327,,22
21,32,Undirected,328,,24
21,8,Undirected,329,,24
31,16,Undirected,330,,23
31,8,Undirected,331,,13
32,16,Undirected,332,,25
32,8,Undirected,333,,18
16,8,Undirected,334,,20
2,35,Undirected,335,,29
2,33,Undirected,336,,12
2,36,Undirected,337,,18
35,24,Undirected,338,,22
35,3,Undirected,339,,19
35,11,Undirected,340,,22
35,4,Undirected,341,,20
35,33,Undirected,342,,12
35,17,Undirected,343,,48
35,18,Undirected,344,,21
35,0,Undirected,345,,25
35,36,Undirected,346,,20
35,13,Undirected,347,,12
35,14,Undirected,348,,48
35,1,Undirected,349,,80
24,18,Undirected,350,,20
24,36,Undirected,351,,23
24,13,Undirected,352,,29
24,14,Undirected,353,,58
3,17,Undirected,354,,37
3,18,Undirected,355,,14
3,36,Undirected,356,,8
3,13,Undirected,357,,6
3,14,Undirected,358,,27
11,33,Undirected,359,,16
11,36,Undirected,360,,15
4,33,Undirected,361,,22
4,36,Undirected,362,,14
33,17,Undirected,363,,25
33,18,Undirected,364,,16
33,36,Undirected,365,,12
33,13,Undirected,366,,20
33,14,Undirected,367,,38
17,36,Undirected,368,,27
17,13,Undirected,369,,21
18,0,Undirected,370,,22
18,36,Undirected,371,,12
18,13,Undirected,372,,19
0,36,Undirected,373,,18
0,13,Undirected,374,,22
0,14,Undirected,375,,52
36,13,Undirected,376,,20
36,14,Undirected,377,,38
36,1,Undirected,378,,51
10,33,Undirected,379,,8
10,18,Undirected,380,,19
10,34,Undirected,381,,10
10,8,Undirected,382,,19
11,34,Undirected,383,,14
4,34,Undirected,384,,17
33,29,Undirected,385,,9
33,6,Undirected,386,,16
33,34,Undirected,387,,13
33,8,Undirected,388,,12
18,29,Undirected,389,,13
18,6,Undirected,390,,17
18,34,Undirected,391,,6
18,8,Undirected,392,,21
29,14,Undirected,393,,25
29,34,Undirected,394,,10
29,8,Undirected,395,,17
6,34,Undirected,396,,8
14,34,Undirected,397,,32
14,8,Undirected,398,,54
34,8,Undirected,399,,14
13,9,Undirected,400,,17
10,35,Undirected,401,,27
10,37,Undirected,402,,16
10,21,Undirected,403,,25
35,37,Undirected,404,,19
35,28,Undirected,405,,7
35,12,Undirected,406,,27
35,21,Undirected,407,,29
35,15,Undirected,408,,28
35,16,Undirected,409,,25
35,8,Undirected,410,,24
24,37,Undirected,411,,16
24,12,Undirected,412,,21
24,21,Undirected,413,,24
24,15,Undirected,414,,20
24,16,Undirected,415,,18
24,8,Undirected,416,,30
37,28,Undirected,417,,1
37,12,Undirected,418,,19
37,18,Undirected,419,,25
37,0,Undirected,420,,13
37,13,Undirected,421,,15
37,21,Undirected,422,,23
37,14,Undirected,423,,37
37,15,Undirected,424,,27
37,1,Undirected,425,,52
37,16,Undirected,426,,16
37,8,Undirected,427,,21
28,12,Undirected,428,,6
28,18,Undirected,429,,5
28,13,Undirected,430,,5
28,21,Undirected,431,,9
28,14,Undirected,432,,15
28,15,Undirected,433,,4
28,16,Undirected,434,,12
28,8,Undirected,435,,6
12,0,Undirected,436,,18
12,8,Undirected,437,,24
18,15,Undirected,438,,27
0,15,Undirected,439,,24
13,21,Undirected,440,,16
13,8,Undirected,441,,22
21,15,Undirected,442,,38
15,8,Undirected,443,,28
2,22,Undirected,444,,20
2,37,Undirected,445,,15
2,23,Undirected,446,,27
2,25,Undirected,447,,18
35,22,Undirected,448,,19
35,27,Undirected,449,,24
35,23,Undirected,450,,16
35,25,Undirected,451,,21
35,6,Undirected,452,,15
35,30,Undirected,453,,36
35,7,Undirected,454,,18
35,31,Undirected,455,,15
35,9,Undirected,456,,26
35,32,Undirected,457,,20
22,3,Undirected,458,,12
22,37,Undirected,459,,11
22,27,Undirected,460,,17
22,25,Undirected,461,,14
22,12,Undirected,462,,12
22,0,Undirected,463,,25
22,30,Undirected,464,,17
22,7,Undirected,465,,12
22,21,Undirected,466,,21
22,14,Undirected,467,,26
22,15,Undirected,468,,16
22,31,Undirected,469,,16
22,32,Undirected,470,,16
22,8,Undirected,471,,13
3,37,Undirected,472,,13
3,23,Undirected,473,,11
3,25,Undirected,474,,8
3,12,Undirected,475,,19
3,21,Undirected,476,,24
3,15,Undirected,477,,15
37,27,Undirected,478,,19
37,23,Undirected,479,,9
37,25,Undirected,480,,6
37,17,Undirected,481,,25
37,6,Undirected,482,,9
37,30,Undirected,483,,18
37,7,Undirected,484,,17
37,31,Undirected,485,,5
37,9,Undirected,486,,20
37,32,Undirected,487,,11
27,23,Undirected,488,,15
27,25,Undirected,489,,13
27,12,Undirected,490,,21
27,17,Undirected,491,,36
27,21,Undirected,492,,28
27,14,Undirected,493,,37
27,15,Undirected,494,,20
27,8,Undirected,495,,22
23,25,Undirected,496,,18
23,12,Undirected,497,,6
23,0,Undirected,498,,45
23,30,Undirected,499,,11
23,7,Undirected,500,,14
23,21,Undirected,501,,20
23,14,Undirected,502,,23
23,15,Undirected,503,,16
23,31,Undirected,504,,20
23,32,Undirected,505,,24
23,8,Undirected,506,,16
25,12,Undirected,507,,11
25,6,Undirected,508,,15
25,30,Undirected,509,,19
25,7,Undirected,510,,11
25,14,Undirected,511,,32
25,15,Undirected,512,,11
25,9,Undirected,513,,22
12,30,Undirected,514,,35
