Id,Label,modularity_class,Size
0,442oons,,7
1,steak,,8
2,kaka v420,,7
3,IShowSpeed,,17
4,MrBeast,,74
5,UR · Cristiano,,25
6,Music,,7
7,PewDiePie,,36
8,Jelly,,7
9,Simple History,,12
10,Markiplier,,27
11,Taureor,,8
12,VanossGaming,,13
13,Noel Deyzel,,6
14,Nick DiGiovanni,,13
15,Pravus,,11
16,Steven He,,16
17,RealLifeLore,,11
18,Smosh,,9
19,jacksepticeye,,26
20,The Infographics Show,,14
21,Hacksmith Industries,,12
22,TommyKay,,31
23,Beluga,,8
24,Alex The Rambler!,,27
25,SCP Explained - Story & Animation,,6
26,SCP Animated - Tales From The Foundation,,6
27,The B3,,7
28,Viva La Dirt League,,11
29,AdizzPro,,11
30,The Game Theorists,,28
31,MrBallen,,6
32,GrayStillPlays,,15
33,Sam O'Nella Academy,,19
34,jschlattLIVE,,7
35,BaronVonGames,,10
36,Aldrahill,,14
37,Vsauce,,20
38,Kaliningrad General,,8
39,Piemations,,7
40,Knowing Better,,7
41,Primitive Technology,,9
42,Tom Scott,,8
43,ISP,,14
44,Kings and Generals,,25
45,OverSimplified,,63
46,Jameskii,,9
47,RTGame,,7
48,The Spiffing Brit,,22
49,The Red Hawk,,10
50,EmperorTigerstar,,12
51,Big guy,,8
52,TheRussianBadger,,23
53,martincitopantsLIVE,,10
54,Jay Foreman,,11
55,Ludi et Historia,,20
56,TheVolgun,,6
57,martincitopants,,22
58,Anomaly,,8
59,Adam Something,,10
60,Daily Dose Of Internet,,17
61,Max0r,,6
62,iSorrow,,17
63,AlzaboHD,,9
64,Phoenix SC,,6
65,High Boi,,10
66,AlternateHistoryHub,,29
67,iSorrowproductions,,76
68,Bruva Alfabusa,,13
69,Laith,,16
70,SethEverman,,6
71,colinfurze,,7
72,Cas van de Pol,,7
73,Casually Explained,,6
74,Kurzgesagt – In a Nutshell,,35
75,videogamedunkey,,11
76,Sr Pelo,,9
77,Let's Game It Out,,14
78,The Urban Rescue Ranch,,6
79,SpyCakes,,9
80,The Film Theorists,,15
81,Skip the Tutorial,,7
82,Ryan HD,,6
83,Luke TheNotable,,8
84,Technoblade,,18
85,The Food Theorists,,7
86,Blitz,,8
87,War Thunder. Official channel.,,6
88,Dude Perfect,,7
89,DanTDM,,13
90,Dream,,10
91,Beast Reacts,,12
92,Alan Becker,,16
93,Outdoor Boys,,8
94,Squire,,9
95,Forge Labs,,6
96,SSundee,,8
97,Socksfor1,,8
98,DaFuq!?Boom!,,22
99,LazarBeam,,17
100,No Text To Speech,,6
101,Reggie,,13
102,GothamChess,,10
103,HowToBasic,,6
104,Andjobe,,16
105,City Planner Plays,,9
106,HandOfBlood,,7
107,HandOfUncut,,6
108,Paluten,,9
109,GermanLetsPlay,,6
110,TrashCountryMapping ,,8
111,Colonel Cam,,33
112,ThatGuyFromCollege,,23
113,Kwite,,8
114,Scott The Woz,,7
115,Gattsu,,9
116,stakuyi,,30
117,JaidenAnimations,,13
118,Curt Who Games,,9
119,Degenerocity,,8
120,Slimecicle,,8
121,Linus Tech Tips,,8
122,Mark Rober,,18
123,Spookston,,7
124,Johnny Harris,,7
125,theRadBrad,,6
126,Michael Reeves,,10
127,Uncle Dane,,9
128,kristibbs,,23
129,Vivziepop,,6
130,OffendingEverybody,,13
131,Beast Philanthropy,,11
132,CaseOh,,11
133,HistoryMarche,,6
134,TerminalMontage,,10
135,FeedBackGaming,,22
136,bill wurtz,,7
137,Epic History,,8
138,Bread Boys,,6
139,Chumm,,6
140,History Matters,,32
141,Bitt3rSteel,,41
142,Rimmy Downunder,,17
143,HollowBeing,,23
144,Wendover Productions,,8
145,MrBeast Gaming,,18
146,Law By Mike,,17
147,CinemaSins,,8
148,Rarr,,6
149,Bokoen1,,23
150,LegalEagle,,6
151,Dankus Memecus,,12
152,Zlewikk TV,,7
153,FeedbackIRL,,8
154,Habitual Linecrosser,,8
155,Ray William Johnson,,9
156,Speed McQueen ,,8
157,MC Atlas,,8
158,Aristo,,6
159,Basically Thai,,8
160,Polandball Official,,16
161,Cassiz,,6
162,Doğukan Adal [Tvo],,6
163,RoyalPear,,15
164,Miniminuteman,,8
165,MrBeast 2,,10
166,Chaotic Florius,,23
167,Ejiogu Dennis,,6
168,Fire Department Chronicles,,8
169,Max the Meat Guy,,7
170,JonTronShow,,10
171,Geo Facts,,7
172,Ryan Trahan,,9
173,penguinz0,,25
174,Content Machine,,6
175,Michael Storen,,6
176,R3alism,,6
177,Valefisk,,13
178,Anti-Kleaper,,10
179,hoser,,7
180,SsethTzeentach,,19
181,ERB,,14
182,Vlogging Through History,,9
183,SovietWomble,,13
184,Monsieur Z,,6
185,ambiguousamphibian,,10
186,The Grim Kleaper,,10
187,Hazzor,,10
188,zanny,,10
189,History Buffs,,10
190,MandaloreGaming,,11
191,Kraut,,9
192,CaspianReport,,6
193,The Lore Master,,7
194,Extra History,,19
195,Robbaz,,6
196,Grian,,9
197,The Armchair Historian,,27
198,CGP Grey,,17
199,Drew Durnil,,32
200,Slmccl,,6
201,AtlasProductions,,11
202,GLITCH,,13
203,Kenadian,,6
204,dsand,,7
205,Jaden Williams,,8
206,MeatCanyon,,6
207,Joe Caine,,7
208,CheapPickle,,8
209,Dani,,11
210,Life of Boris,,11
211,The Fat Electrician,,7
212,Philip DeFranco,,6
213,Red Bull,,6
214,TheXPGamers,,11
215,Plastic Scot,,7
216,RubixRaptor,,6
217,PopularMMOs,,8
218,DaleyTactics,,6
219,Kaiser Cat Cinema,,8
220,John Casterline,,17
221,Meanbean,,13
222,Wendigoon,,10
223,Incognito Mode,,7
224,Luetin09,,6
225,Asmongold TV  ,,8
226,Internet Historian,,11
227,Potential History,,7
228,Tyrecordslol,,7
229,Hearts Of Iron IV,,21
230,IdkSterling,,7
231,Minecraft,,7
232,PACKGOD,,10
233,I am MoBo,,9
234,camman18,,18
235,Łukasz Jakowski,,7
236,TrixyBlox,,6
237,Jet Lag: The Game,,7
238,TheGamingBeaver,,7
239,Tank Fish,,12
240,ChainsFR,,6
241,EminemMusic,,11
242,Joll and Conk,,7
243,Wubzzy,,7
244,Gohar Khan,,7
245,Scorpo,,6
246,DougDoug,,8
247,BeastChild,,6
248,Mitsi Studio,,9
249,Tanma,,6
250,SMG4,,12
251,Real Civil Engineer,,9
252,MrSpherical,,15
253,BastiGHG,,6
254,Shiloh & Bros,,6
255,JOHN ROBLOX,,7
256,Koifish,,9
257,Montu Plays,,8
258,Rewriting History,,14
259,Real Time History,,6
260,Janovich,,7
261,History of Everything Podcast,,7
262,lionheartx10,,7
263,The Great War,,6
264,Pilps,,7
265,PancreasNoWork,,6
266,EckhartsLadder,,13
