Source,Target,Type,Id,Label,Weight
10,43,Undirected,551,,4
10,44,Undirected,552,,5
10,45,Undirected,553,,10
10,46,Undirected,554,,4
10,48,Undirected,556,,7
10,49,Undirected,557,,3
10,51,Undirected,559,,4
10,52,Undirected,560,,11
10,53,Undirected,561,,3
10,54,Undirected,562,,3
10,55,Undirected,563,,3
10,57,Undirected,565,,8
10,60,Undirected,568,,6
10,61,Undirected,569,,3
10,62,Undirected,570,,6
10,63,Undirected,571,,4
10,65,Undirected,573,,4
10,66,Undirected,574,,8
10,67,Undirected,575,,16
10,69,Undirected,577,,4
10,71,Undirected,579,,3
10,72,Undirected,580,,3
10,74,Undirected,582,,5
10,75,Undirected,583,,4
10,77,Undirected,585,,5
10,78,Undirected,586,,3
39,45,Undirected,592,,4
39,52,Undirected,600,,3
39,60,Undirected,608,,3
39,22,Undirected,615,,3
39,67,Undirected,617,,3
39,68,Undirected,618,,3
39,76,Undirected,626,,3
40,43,Undirected,631,,3
40,44,Undirected,632,,3
40,45,Undirected,633,,3
40,57,Undirected,646,,3
40,59,Undirected,648,,3
40,61,Undirected,650,,3
40,22,Undirected,656,,3
40,66,Undirected,657,,5
40,67,Undirected,658,,5
40,68,Undirected,659,,3
40,69,Undirected,660,,4
40,74,Undirected,665,,3
40,75,Undirected,666,,3
40,76,Undirected,667,,3
40,77,Undirected,668,,3
41,44,Undirected,672,,3
41,45,Undirected,673,,3
41,47,Undirected,676,,3
41,56,Undirected,685,,3
41,57,Undirected,686,,3
41,66,Undirected,697,,5
41,67,Undirected,698,,5
41,74,Undirected,705,,3
41,75,Undirected,706,,3
42,45,Undirected,712,,4
42,49,Undirected,717,,3
42,52,Undirected,720,,3
42,55,Undirected,723,,3
42,62,Undirected,730,,3
42,22,Undirected,735,,4
42,67,Undirected,737,,4
42,69,Undirected,739,,4
42,73,Undirected,743,,3
42,74,Undirected,744,,3
42,75,Undirected,745,,3
43,44,Undirected,749,,3
43,45,Undirected,750,,7
43,48,Undirected,754,,6
43,49,Undirected,755,,3
43,52,Undirected,758,,4
43,57,Undirected,763,,5
43,60,Undirected,766,,3
43,61,Undirected,767,,3
43,62,Undirected,768,,6
43,63,Undirected,769,,3
43,21,Undirected,771,,5
43,65,Undirected,772,,3
43,22,Undirected,773,,3
43,66,Undirected,774,,3
43,67,Undirected,775,,14
43,68,Undirected,776,,3
43,70,Undirected,778,,3
43,73,Undirected,781,,3
43,74,Undirected,782,,6
43,75,Undirected,783,,3
43,77,Undirected,785,,4
43,78,Undirected,786,,3
44,45,Undirected,787,,14
44,17,Undirected,788,,5
44,47,Undirected,790,,3
44,48,Undirected,791,,8
44,49,Undirected,792,,5
44,50,Undirected,793,,4
44,52,Undirected,795,,5
44,54,Undirected,797,,4
44,55,Undirected,798,,6
44,57,Undirected,800,,4
44,59,Undirected,802,,4
44,60,Undirected,803,,4
44,62,Undirected,805,,3
44,63,Undirected,806,,6
44,22,Undirected,810,,5
44,66,Undirected,811,,10
44,67,Undirected,812,,12
44,68,Undirected,813,,3
44,69,Undirected,814,,7
44,74,Undirected,819,,6
44,75,Undirected,820,,4
44,77,Undirected,822,,4
45,17,Undirected,824,,6
45,46,Undirected,825,,3
45,47,Undirected,826,,4
45,48,Undirected,827,,9
45,49,Undirected,828,,3
45,50,Undirected,829,,8
45,51,Undirected,830,,3
45,52,Undirected,831,,11
45,54,Undirected,833,,8
45,55,Undirected,834,,7
45,57,Undirected,836,,9
45,59,Undirected,838,,8
45,60,Undirected,839,,8
45,62,Undirected,841,,8
45,63,Undirected,842,,3
45,21,Undirected,844,,5
45,65,Undirected,845,,6
45,22,Undirected,846,,14
45,66,Undirected,847,,12
45,67,Undirected,848,,28
45,68,Undirected,849,,3
45,69,Undirected,850,,8
45,70,Undirected,851,,4
45,71,Undirected,852,,4
45,73,Undirected,854,,3
45,74,Undirected,855,,14
45,75,Undirected,856,,5
45,76,Undirected,857,,4
45,77,Undirected,858,,7
17,48,Undirected,862,,3
17,54,Undirected,868,,3
17,55,Undirected,869,,3
17,64,Undirected,878,,3
17,66,Undirected,880,,6
17,67,Undirected,881,,5
17,74,Undirected,888,,4
17,78,Undirected,892,,3
46,52,Undirected,898,,4
46,53,Undirected,899,,4
46,57,Undirected,903,,3
46,62,Undirected,908,,4
