Id,Label,modularity_class,Size
0,SwinceBall,0,0.003966942148760331
1,Tanma,0,0.001851851851851852
2,Mapping & Yapping,0,0.0015113350125944584
3,Colonel Cam,0,0.0012619502868068833
4,Leku,0,0.001176470588235294
5,TrashCountryMapping ,0,0.001171875
6,Prizo,0,0.0011214953271028037
7,AtlasProductions,0,0.001013215859030837
8,kristibbs,0,0.0008442776735459662
9,HollowBeing,0,0.000825515947467167
10,hansen,0,0.0006976744186046512
11,Rewriting History,0,0.0006591639871382636
12,CuriousConnman,0,0.0006511627906976744
13,Jaydawarlord,0,0.0006285714285714285
14,Chaotic Florius,0,0.0006155950752393981
15,Curt Who Games,0,0.0005725190839694657
16,Aristo,0,0.0005508474576271186
17,Aldrahill,0,0.0005413105413105413
18,Meanbean,0,0.0005411255411255411
19,Videntis,0,0.000539568345323741
20,John Parker 117,0,0.0005179282868525896
21,ThatGuyFromCollege,0,0.0005132743362831858
22,iSorrow,0,0.000484472049689441
23,Chumm,0,0.0004787234042553191
24,Legit Burger,0,0.00046575342465753425
25,Toby,0,0.00041935483870967743
26,sejozwak,0,0.0004143646408839779
27,Dino Stan,0,0.00041343669250645994
28,Tarkusarkusar,0,0.0003716216216216216
29,Bitt3rSteel,0,0.00035231316725978646
30,Mountain General,0,0.0003493150684931507
31,Jir Mirza ,0,0.00034782608695652176
32,Possible History,0,0.00032882882882882884
33,DShakey,0,0.0003181818181818182
34,Dragoon,0,0.00031746031746031746
35,Talpperi,0,0.0003125
36,Hearts Of Iron IV,0,0.0003
37,Cassiz,0,0.00028720626631853783
38,Kaiser Cat Cinema,0,0.0002845528455284553
39,Lemon Cake,0,0.0002692307692307692
40,Italian Mapper,0,0.0002690582959641256
41,Ayden George,0,0.00026252983293556086
42,FeedbackIRL,0,0.0002593192868719611
43,Lavader,0,0.0002575107296137339
44,Epentibi,0,0.00024498886414253896
45,Spartan761 - History,0,0.00024489795918367346
46,Quarbit,0,0.00024232633279483036
