Source,Target,Type,Id,Label,Weight
1,0,Undirected,0,,0.001851851851851852
2,0,Undirected,1,,0.0015113350125944584
3,0,Undirected,2,,0.0012619502868068833
4,0,Undirected,3,,0.001176470588235294
5,0,Undirected,4,,0.001171875
6,0,Undirected,5,,0.0011214953271028037
7,0,Undirected,6,,0.001013215859030837
8,0,Undirected,7,,0.0008442776735459662
9,0,Undirected,8,,0.000825515947467167
10,0,Undirected,9,,0.0006976744186046512
11,0,Undirected,10,,0.0006591639871382636
12,0,Undirected,11,,0.0006511627906976744
13,0,Undirected,12,,0.0006285714285714285
14,0,Undirected,13,,0.0006155950752393981
15,0,Undirected,14,,0.0005725190839694657
16,0,Undirected,15,,0.0005508474576271186
17,0,Undirected,16,,0.0005413105413105413
18,0,Undirected,17,,0.0005411255411255411
19,0,Undirected,18,,0.000539568345323741
20,0,Undirected,19,,0.0005179282868525896
21,0,Undirected,20,,0.0005132743362831858
22,0,Undirected,21,,0.000484472049689441
23,0,Undirected,22,,0.0004787234042553191
24,0,Undirected,23,,0.00046575342465753425
25,0,Undirected,24,,0.00041935483870967743
26,0,Undirected,25,,0.0004143646408839779
27,0,Undirected,26,,0.00041343669250645994
28,0,Undirected,27,,0.0003716216216216216
29,0,Undirected,28,,0.00035231316725978646
30,0,Undirected,29,,0.0003493150684931507
31,0,Undirected,30,,0.00034782608695652176
32,0,Undirected,31,,0.00032882882882882884
33,0,Undirected,32,,0.0003181818181818182
34,0,Undirected,33,,0.00031746031746031746
35,0,Undirected,34,,0.0003125
36,0,Undirected,35,,0.0003
37,0,Undirected,36,,0.00028720626631853783
38,0,Undirected,37,,0.0002845528455284553
39,0,Undirected,38,,0.0002692307692307692
40,0,Undirected,39,,0.0002690582959641256
41,0,Undirected,40,,0.00026252983293556086
42,0,Undirected,41,,0.0002593192868719611
43,0,Undirected,42,,0.0002575107296137339
44,0,Undirected,43,,0.00024498886414253896
45,0,Undirected,44,,0.00024489795918367346
46,0,Undirected,45,,0.00024232633279483036
47,0,Undirected,46,,0.00022690437601296596
48,0,Undirected,47,,0.00021476510067114095
49,0,Undirected,48,,0.0002125
50,0,Undirected,49,,0.0002110091743119266
51,0,Undirected,50,,0.0001948051948051948
52,0,Undirected,51,,0.00019327731092436975
53,0,Undirected,52,,0.0001915151515151515
54,0,Undirected,53,,0.00017991004497751125
55,0,Undirected,54,,0.00017391304347826088
56,0,Undirected,55,,0.00017365269461077845
57,0,Undirected,56,,0.00017321016166281755
58,0,Undirected,57,,0.0001718213058419244
59,0,Undirected,58,,0.0001657303370786517
60,0,Undirected,59,,0.00016560509554140127
61,0,Undirected,60,,0.00016363636363636363
62,0,Undirected,61,,0.00016101694915254236
63,0,Undirected,62,,0.00016037735849056605
64,0,Undirected,63,,0.0001576086956521739
65,0,Undirected,64,,0.000155688622754491
66,0,Undirected,65,,0.000155688622754491
67,0,Undirected,66,,0.0001529051987767584
68,0,Undirected,67,,0.00015055762081784386
69,0,Undirected,68,,0.00014847161572052403
70,0,Undirected,69,,0.00014634146341463414
71,0,Undirected,70,,0.00013761467889908258
72,0,Undirected,71,,0.0001372549019607843
73,0,Undirected,72,,0.0001371308016877637
74,0,Undirected,73,,0.00013475177304964539
75,0,Undirected,74,,0.00012878787878787878
76,0,Undirected,75,,0.00012871287128712872
77,0,Undirected,76,,0.00012835820895522389
78,0,Undirected,77,,0.000125
79,0,Undirected,78,,0.0001234567901234568
80,0,Undirected,79,,0.00012072434607645876
81,0,Undirected,80,,0.00011458333333333333
82,0,Undirected,81,,0.0001125
83,0,Undirected,82,,0.00010830324909747292
84,0,Undirected,83,,0.00010344827586206896
85,0,Undirected,84,,0.0001015228426395939
86,0,Undirected,85,,9.404388714733542e-05
87,0,Undirected,86,,9.35251798561151e-05
88,0,Undirected,87,,9.191176470588235e-05
89,0,Undirected,88,,9.150326797385621e-05
90,0,Undirected,89,,8.950086058519793e-05
91,0,Undirected,90,,8.934707903780069e-05
92,0,Undirected,91,,8.737864077669902e-05
93,0,Undirected,92,,8.522727272727273e-05
94,0,Undirected,93,,8.461538461538461e-05
95,0,Undirected,94,,8.391608391608392e-05
96,0,Undirected,95,,8.051948051948052e-05
97,0,Undirected,96,,7.7720207253886e-05
98,0,Undirected,97,,7.692307692307693e-05
99,0,Undirected,98,,7.619047619047618e-05
100,0,Undirected,99,,7.604562737642586e-05
101,0,Undirected,100,,7.534246575342466e-05
102,0,Undirected,101,,7.5e-05
103,0,Undirected,102,,7.342657342657342e-05
104,0,Undirected,103,,7.226107226107227e-05
105,0,Undirected,104,,7.142857142857143e-05
106,0,Undirected,105,,6.853582554517133e-05
107,0,Undirected,106,,6.766917293233083e-05
108,0,Undirected,107,,6.719367588932806e-05
109,0,Undirected,108,,6.713780918727916e-05
110,0,Undirected,109,,6.698564593301435e-05
111,0,Undirected,110,,6.666666666666667e-05
112,0,Undirected,111,,6.619385342789599e-05
113,0,Undirected,112,,6.551724137931034e-05
114,0,Undirected,113,,6.544502617801048e-05
115,0,Undirected,114,,6.42570281124498e-05
116,0,Undirected,115,,6.342494714587737e-05
117,0,Undirected,116,,6.301369863013699e-05
118,0,Undirected,117,,6.214689265536724e-05
119,0,Undirected,118,,6.160164271047228e-05
120,0,Undirected,119,,6.083650190114068e-05
121,0,Undirected,120,,6.012658227848101e-05
122,0,Undirected,121,,5.8084772370486655e-05
123,0,Undirected,122,,5.6402439024390247e-05
124,0,Undirected,123,,5.583756345177665e-05
125,0,Undirected,124,,5.58252427184466e-05
126,0,Undirected,125,,5.496828752642706e-05
127,0,Undirected,126,,5.4e-05
128,0,Undirected,127,,5.298013245033112e-05
129,0,Undirected,128,,5.241935483870968e-05
130,0,Undirected,129,,5.0847457627118643e-05
131,0,Undirected,130,,5.0808314087759814e-05
132,0,Undirected,131,,5.07399577167019e-05
133,0,Undirected,132,,5.0632911392405066e-05
134,0,Undirected,133,,4.9535603715170275e-05
135,0,Undirected,134,,4.878048780487805e-05
136,0,Undirected,135,,4.8034934497816594e-05
137,0,Undirected,136,,4.782608695652174e-05
138,0,Undirected,137,,4.761904761904762e-05
139,0,Undirected,138,,4.7191011235955054e-05
140,0,Undirected,139,,4.590163934426229e-05
141,0,Undirected,140,,4.53257790368272e-05
142,0,Undirected,141,,4.4989775051124746e-05
143,0,Undirected,142,,4.4715447154471546e-05
144,0,Undirected,143,,4.4444444444444447e-05
145,0,Undirected,144,,4.294478527607362e-05
146,0,Undirected,145,,4.262295081967213e-05
147,0,Undirected,146,,4.221635883905013e-05
