Id,Label,modularity_class,Size
1,MrBeast,0,176
0,SwinceBall,0,480
2,PewDiePie,0,110
3,Simple History,0,54
4,Markiplier,0,91
5,Steven He,0,53
6,jacksepticeye,0,66
7,TommyKay,0,81
8,Alex The Rambler!,0,75
9,The Game Theorists,0,94
10,ThatGuyFromCollege,0,58
11,Vsauce,0,75
12,Kings and Generals,0,71
13,FeedBackGaming,0,59
14,iSorrowproductions,0,158
15,Bokoen1,0,75
16,Kurzgesagt – In a Nutshell,0,92
17,OverSimplified,0,163
18,The Spiffing Brit,0,61
19,TheRussianBadger,0,58
20,Daily Dose Of Internet,0,51
21,AlternateHistoryHub,0,95
22,The Film Theorists,0,51
23,Technoblade,0,65
24,Bitt3rSteel,0,99
25,Possible History,0,73
26,MrSpherical,0,51
27,Extra History,0,64
28,Law By Mike,0,52
29,Mark Rober,0,62
30,The Armchair Historian,0,76
31,TheOdd1sOut,0,51
32,penguinz0,0,71
33,stakuyi,0,60
34,Colonel Cam,0,66
35,History Matters,0,80
36,Mountain General,0,51
37,Rimmy Downunder,0,52
38,Drew Durnil,0,81
