Source,Target,Type,Id,Label,Weight
1,0,Undirected,0,,176
2,0,Undirected,1,,110
3,0,Undirected,2,,54
4,0,Undirected,3,,91
5,0,Undirected,4,,53
6,0,Undirected,5,,66
7,0,Undirected,6,,81
8,0,Undirected,7,,75
9,0,Undirected,8,,94
10,0,Undirected,9,,58
11,0,Undirected,10,,75
12,0,Undirected,11,,71
13,0,Undirected,12,,59
14,0,Undirected,13,,158
15,0,Undirected,14,,75
16,0,Undirected,15,,92
17,0,Undirected,16,,163
18,0,Undirected,17,,61
19,0,Undirected,18,,58
20,0,Undirected,19,,51
21,0,Undirected,20,,95
22,0,Undirected,21,,51
23,0,Undirected,22,,65
24,0,Undirected,23,,99
25,0,Undirected,24,,73
26,0,Undirected,25,,51
27,0,Undirected,26,,64
28,0,Undirected,27,,52
29,0,Undirected,28,,62
30,0,Undirected,29,,76
31,0,Undirected,30,,51
32,0,Undirected,31,,71
33,0,Undirected,32,,60
34,0,Undirected,33,,66
35,0,Undirected,34,,80
36,0,Undirected,35,,51
37,0,Undirected,36,,52
38,0,Undirected,37,,81
